1205
6313869	5	2	32	4	1	1	8	3	10
6313910	5	2	47	4	1	2	99	3	99
6313954	5	2	36	4	4	99	99	4	99
6313977	5	1	49	4	1	3	3	3	17
6314061	5	1	29	4	1	1	4	4	18
6314074	5	1	97	4	5	1	7	3	13
6314119	5	2	44	3	2	1	4	3	99
6314139	5	1	58	4	1	2	2	3	16
6314331	5	1	48	2	1	3	4	4	10
6314407	5	1	72	4	5	3	7	3	7
6314537	5	2	32	4	1	2	2	2	18
6314614	5	2	53	3	3	3	7	4	9
6314647	4	2	18	2	1	1	9	3	99
6314677	5	2	88	2	5	3	7	3	7
6314691	5	2	75	4	4	3	7	3	99
6314716	5	2	52	4	1	1	7	3	10
6314741	5	1	18	2	1	1	9	2	16
6314772	5	1	55	3	2	1	10	4	6
6314846	5	2	50	4	2	1	10	3	11
6314905	5	2	80	1	5	3	7	3	7
6314909	5	2	78	3	5	3	7	4	10
6314914	5	2	76	4	5	3	7	99	5
6314923	5	2	21	2	2	3	10	3	11
6314928	5	2	54	4	2	1	10	5	99
6314929	5	1	69	4	5	3	7	4	9
6314937	5	2	60	3	5	3	7	3	10
6314938	5	1	22	4	1	1	4	99	15
6314944	5	2	48	2	1	3	2	3	10
6314954	5	2	56	3	1	1	1	3	8
6314961	5	2	48	4	1	1	99	2	12
6314962	2	2	26	3	1	3	8	3	10
6314966	5	2	27	4	1	2	4	5	9
6314968	5	1	40	4	1	99	5	2	99
6314989	5	1	28	4	1	3	1	3	99
6314994	5	2	81	4	5	3	7	4	99
6315003	5	2	84	4	5	3	7	3	99
6315013	5	1	41	2	1	3	4	3	7
6315017	5	2	54	2	5	1	7	3	14
6315034	5	2	69	3	5	1	7	3	12
6315036	5	2	61	2	2	1	1	4	99
6315047	5	2	26	3	1	3	8	3	9
6315058	5	2	21	4	1	2	9	3	16
6315062	5	2	23	4	1	3	5	4	7
6315063	5	2	52	2	1	1	10	3	9
6315066	5	2	71	4	5	2	7	3	99
6315071	5	2	84	4	5	3	7	3	99
6315073	5	2	59	4	3	3	7	3	16
6315079	5	1	74	4	3	1	7	3	9
6315087	5	2	30	2	3	3	8	3	9
6315095	5	1	63	2	5	3	7	4	9
6315140	5	2	74	4	5	1	7	3	8
6315162	5	1	63	3	5	3	7	3	99
6315169	5	2	44	4	1	3	1	3	11
6315185	5	2	74	3	5	1	7	3	99
6315188	5	2	38	3	1	2	8	2	99
6315189	5	1	22	4	1	2	3	3	99
6315198	5	2	43	2	2	1	4	4	9
6315208	5	1	75	4	2	2	7	3	8
6315209	5	1	18	2	1	2	9	2	99
6315218	4	2	43	4	3	1	6	3	17
6315236	5	2	79	4	5	3	7	3	99
6315239	5	2	71	3	5	3	7	3	99
6315247	5	1	60	2	5	1	7	4	6
6315261	5	2	82	4	5	1	7	3	7
6315282	5	1	81	4	5	3	7	3	7
6315284	5	2	55	3	4	1	7	3	12
6315287	5	2	49	3	5	3	4	4	8
6315294	5	2	58	4	1	1	7	4	10
6315298	5	1	37	4	1	3	4	2	99
6315305	4	2	32	4	1	1	8	2	12
6315307	5	2	55	2	2	3	1	3	8
6315314	5	2	60	2	5	1	8	3	99
6315316	5	2	82	4	5	3	7	3	7
6315320	5	2	72	2	5	1	7	3	9
6315322	4	2	28	4	1	1	99	99	99
6315328	5	2	66	3	5	1	7	4	5
6315336	5	2	51	3	3	3	1	5	8
6315344	5	2	41	4	1	1	8	4	99
6315370	5	1	65	4	1	1	1	3	13
6315394	3	1	45	3	1	1	99	2	10
6315411	5	1	52	2	4	2	2	99	99
6315438	5	2	71	3	5	3	7	3	7
6315444	5	1	41	2	3	1	10	3	12
6315458	5	2	43	4	1	1	8	3	13
6315497	5	1	72	4	2	1	7	3	10
6315525	5	2	77	3	5	3	7	3	9
6315531	5	2	50	3	3	3	5	3	7
6315534	5	2	75	2	5	1	7	3	5
6315538	5	2	42	4	1	1	8	3	11
6315576	5	2	53	3	5	3	7	4	5
6315579	5	1	55	3	5	3	7	4	5
6315593	5	2	45	4	1	1	99	2	99
6315601	5	1	72	4	1	3	7	3	6
6315602	5	2	44	3	5	1	2	3	12
6315603	5	1	83	4	5	3	7	3	99
6315606	5	1	35	4	1	1	4	3	16
6315607	5	2	18	2	1	1	8	3	15
6315609	5	2	60	2	5	3	7	3	11
6315616	5	2	65	2	5	3	7	4	8
6315622	5	1	28	4	1	1	4	3	99
6315646	5	2	68	3	4	3	7	3	11
6315650	5	1	51	2	1	1	7	4	10
6315657	5	2	18	1	1	1	9	3	99
6315666	5	2	65	3	5	1	7	3	6
6315667	5	2	60	3	5	1	5	2	9
6315668	5	2	22	4	1	2	10	3	18
6315670	4	2	36	4	1	3	8	2	18
6315707	5	2	40	3	1	1	8	3	99
6315739	5	1	34	4	1	2	1	3	10
6315745	5	2	21	4	1	3	9	3	9
6315746	5	2	42	4	2	1	1	2	99
6315752	5	1	28	4	1	2	5	2	18
